city_state_id,city_state,state_id
843,cachoeira de pajeu/MG,6
844,cachoeira do arari/PA,15
845,cachoeira do piria/PA,15
846,cachoeira do sul/RS,25
847,cachoeira dos indios/PB,11
848,cachoeira dourada/GO,20
849,cachoeira dourada/MG,6
850,cachoeira grande/MA,14
851,cachoeira paulista/SP,1
852,cachoeira/BA,7
853,cachoeiras de macacu/RJ,4
854,cachoeirinha/PE,9
855,cachoeirinha/RS,25
856,cachoeirinha/TO,22
857,cachoeiro de itapemirim/ES,5
858,cacimba de areia/PB,11
859,cacimba de dentro/PB,11
860,cacimbas/PB,11
861,cacimbinhas/AL,10
862,cacique doble/RS,25
863,cacoal/RO,21
864,caconde/SP,1
865,cacu/GO,20
866,cacule/BA,7
867,caem/BA,7
868,caetanopolis/MG,6
869,caetanos/BA,7
870,caete/MG,6
871,caetes/PE,9
872,caetite/BA,7
873,cafarnaum/BA,7
874,cafeara/PR,26
875,cafelandia/PR,26
876,cafelandia/SP,1
877,cafezal do sul/PR,26
878,caiabu/SP,1
879,caiana/MG,6
880,caiaponia/GO,20
881,caibate/RS,25
882,caibi/SC,27
883,caicara do norte/RN,2
884,caicara do rio do vento/RN,2
885,caicara/PB,11
886,caicara/RS,25
887,caico/RN,2
888,caieiras/SP,1
889,cairu/BA,7
890,caiua/SP,1
891,cajamar/SP,1
892,cajapio/MA,14
893,cajari/MA,14
894,cajati/SP,1
895,cajazeiras do piaui/PI,13
896,cajazeiras/PB,11
897,cajazeirinhas/PB,11
898,cajobi/SP,1
899,cajueiro da praia/PI,13
900,cajueiro/AL,10
901,cajuri/MG,6
902,cajuru/SP,1
903,calcado/PE,9
904,calcoene/AP,16
905,caldas brandao/PB,11
906,caldas novas/GO,20
907,caldas/MG,6
908,caldazinha/GO,20
909,caldeirao grande do piaui/PI,13
910,caldeirao grande/BA,7
911,california/PR,26
912,calmon/SC,27
913,calumbi/PE,9
914,camacan/BA,7
915,camacari/BA,7
916,camacho/MG,6
917,camalau/PB,11
918,camamu/BA,7
919,camanducaia/MG,6
920,camapua/MS,24
921,camaqua/RS,25
922,camaragibe/PE,9
923,camargo/RS,25
924,cambara do sul/RS,25
925,cambara/PR,26
926,cambe/PR,26
927,cambira/PR,26
928,camboriu/SC,27
929,cambuci/RJ,4
930,cambui/MG,6
931,cambuquira/MG,6
932,cameta/PA,15
933,camocim de sao felix/PE,9
934,camocim/CE,12
935,campanario/MG,6
936,campanha/MG,6
937,campestre da serra/RS,25
938,campestre de goias/GO,20
939,campestre do maranhao/MA,14
940,campestre/AL,10
941,campestre/MG,6
942,campina da lagoa/PR,26
943,campina das missoes/RS,25
